Task,Assigned_Fleet,Origin,Destination,Leg_Count,Expected_Load(%),Revenue,Cost,Profit,Shadow_Price_Summary,Product_Count,Recommendation_Tag,Recommendation_Reason
BA2389,F16C0Y165,ZZK,TFB,1,18.79,3613.33,3068.0,545.33,avg=0.00; max=0.00; positive_legs=0,18,Downgauge,"Load is moderate-to-low and shadow price is near zero, suggesting possible excess capacity."
AA0195,F0C0Y72,BOD,GBJ,1,20.21,2264.08,2230.67,33.42,avg=0.00; max=0.00; positive_legs=0,33,Downgauge,"Load is moderate-to-low and shadow price is near zero, suggesting possible excess capacity."
AA0042,F0C0Y76,CFU,BOD,1,24.67,3742.03,2748.5,993.53,avg=0.00; max=0.00; positive_legs=0,10,Downgauge,"Load is moderate-to-low and shadow price is near zero, suggesting possible excess capacity."
AA0106,F16C0Y165,BOD,TFB,1,26.7,15618.27,15493.4,124.87,avg=0.00; max=0.00; positive_legs=0,15,Downgauge,"Load is moderate-to-low and shadow price is near zero, suggesting possible excess capacity."
BA2382,F0C0Y76,TFB,ZZK,1,27.7,2919.78,1752.67,1167.11,avg=0.00; max=0.00; positive_legs=0,20,Downgauge,"Load is moderate-to-low and shadow price is near zero, suggesting possible excess capacity."
super_BA2214,F0C0Y76,TFB,MXT,2,30.59,4416.33,3266.33,1149.99,avg=0.00; max=0.00; positive_legs=0,20,Downgauge,"Load is moderate-to-low and shadow price is near zero, suggesting possible excess capacity."
super_BA2321,F12C12Y48,IMO,TFB,2,30.68,4936.45,4515.6,420.85,avg=0.00; max=0.00; positive_legs=0,25,Downgauge,"Load is moderate-to-low and shadow price is near zero, suggesting possible excess capacity."
BA2202,F0C0Y72,TFB,ZLN,1,32.57,1988.3,1513.67,474.63,avg=0.00; max=0.00; positive_legs=0,15,Downgauge,"Load is moderate-to-low and shadow price is near zero, suggesting possible excess capacity."
BA2387,F0C0Y76,ZZK,TFB,1,36.45,2829.75,1593.33,1236.42,avg=0.00; max=0.00; positive_legs=0,23,Downgauge,"Load is moderate-to-low and shadow price is near zero, suggesting possible excess capacity."
AA0056,F0C0Y76,KOV,TFB,1,37.43,5811.4,5656.33,155.07,avg=0.00; max=0.00; positive_legs=0,8,Downgauge,"Load is moderate-to-low and shadow price is near zero, suggesting possible excess capacity."
super_AA0153,F12C12Y48,BOD,PNF,3,38.89,13203.35,6932.4,6270.95,avg=0.00; max=0.00; positive_legs=0,26,Downgauge,"Load is moderate-to-low and shadow price is near zero, suggesting possible excess capacity."
BA2545,F16C0Y165,TFB,QEY,1,39.79,7049.96,3835.0,3214.96,avg=0.00; max=0.00; positive_legs=0,20,Downgauge,"Load is moderate-to-low and shadow price is near zero, suggesting possible excess capacity."
BA2243,F0C0Y76,ZWS,TFB,1,39.87,3996.25,2031.5,1964.75,avg=0.00; max=0.00; positive_legs=0,16,Downgauge,"Load is moderate-to-low and shadow price is near zero, suggesting possible excess capacity."
AA0694,F16C0Y165,TFB,HFH,1,40.55,6625.7,4295.2,2330.5,avg=0.00; max=0.00; positive_legs=0,28,Downgauge,"Load is moderate-to-low and shadow price is near zero, suggesting possible excess capacity."
BA2121,F16C0Y165,TFB,QEY,1,42.76,5968.88,3911.7,2057.17,avg=0.00; max=0.00; positive_legs=0,29,Downgauge,"Load is moderate-to-low and shadow price is near zero, suggesting possible excess capacity."
