Task,Assigned_Fleet,Origin,Destination,Leg_Count,Expected_Load(%),Revenue,Cost,Profit,Shadow_Price_Summary,Product_Count,Recommendation_Tag,Recommendation_Reason
AA0123,F16C0Y165,TFB,GBJ,1,100.0,54201.0,17180.8,37020.2,avg=53.72; max=53.72; positive_legs=1,128,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0004,F16C0Y165,TFB,EDB,1,100.0,55359.8,23010.0,32349.8,avg=51.88; max=51.88; positive_legs=1,39,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0129,F16C0Y165,TFB,GBJ,1,100.0,43255.43,17410.9,25844.53,avg=37.76; max=37.76; positive_legs=1,140,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0087,F16C0Y165,TFB,BOD,1,100.0,41185.97,15493.4,25692.57,avg=44.20; max=44.20; positive_legs=1,256,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0083,F16C0Y165,TFB,BOD,1,100.0,41159.4,16107.0,25052.4,avg=43.00; max=43.00; positive_legs=1,98,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0099,F16C0Y165,TFB,BOD,1,100.0,40219.27,15876.9,24342.37,avg=37.88; max=37.88; positive_legs=1,184,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0097,F16C0Y165,TFB,BOD,1,100.0,38989.5,16030.3,22959.2,avg=32.60; max=32.60; positive_legs=1,295,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0089,F16C0Y165,TFB,BOD,1,100.0,39034.87,16107.0,22927.87,avg=31.20; max=31.20; positive_legs=1,210,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
super_AA0225,F16C0Y165,TKE,QEY,2,95.03,44969.3,22396.4,22572.9,avg=9.16; max=16.80; positive_legs=2,50,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
super_AA0317,F16C0Y165,TGP,TGP,2,97.82,38648.4,16107.0,22541.4,avg=10.26; max=17.80; positive_legs=2,65,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0137,F16C0Y165,QEY,BOD,1,100.0,38934.17,16797.3,22136.87,avg=29.84; max=29.84; positive_legs=1,95,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0002,F16C0Y165,TFB,EDB,1,100.0,42558.8,22549.8,20009.0,avg=42.56; max=42.56; positive_legs=1,49,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
super_AA0244,F16C0Y165,TFB,NFY,2,100.0,47161.73,27918.8,19242.93,avg=22.30; max=26.80; positive_legs=2,54,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0549,F16C0Y165,QTQ,TFB,1,100.0,32203.5,13039.0,19164.5,avg=27.20; max=27.20; positive_legs=1,24,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0862,F16C0Y165,PHH,QEY,1,100.0,43427.77,24774.1,18653.67,avg=45.40; max=45.40; positive_legs=1,64,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
super_AA0307,F16C0Y165,TGP,TGP,2,96.0,35279.8,16720.6,18559.2,avg=8.52; max=17.04; positive_legs=1,51,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0251,F16C0Y165,TKE,MBY,1,100.0,30012.2,11811.8,18200.4,avg=29.60; max=29.60; positive_legs=1,37,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0871,F16C0Y165,IOM,BOD,1,100.0,46180.0,27995.5,18184.5,avg=46.60; max=46.60; positive_legs=1,11,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0093,F16C0Y165,TFB,BOD,1,100.0,34121.2,16490.5,17630.7,avg=25.36; max=25.36; positive_legs=1,197,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0012,F16C0Y165,TFB,CPT,1,100.0,42534.0,24927.5,17606.5,avg=37.96; max=37.96; positive_legs=1,26,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0001,F16C0Y165,EDB,TFB,1,100.0,43603.13,26308.1,17295.03,avg=42.60; max=42.60; positive_legs=1,53,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0259,F16C0Y165,QWS,MBY,1,100.0,32013.1,15033.2,16979.9,avg=31.20; max=31.20; positive_legs=1,50,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
super_AA0227,F16C0Y165,TKD,TKD,2,93.7,43980.0,27612.0,16368.0,avg=15.22; max=27.00; positive_legs=2,34,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0400,F16C0Y165,QEY,TKD,1,100.0,24323.1,7976.8,16346.3,avg=18.92; max=18.92; positive_legs=1,27,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0368,F16C0Y165,TFB,TNG,1,100.0,23640.7,7746.7,15894.0,avg=18.44; max=18.44; positive_legs=1,49,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0754,F16C0Y165,TFB,TUM,1,100.0,33086.2,17257.5,15828.7,avg=25.60; max=25.60; positive_legs=1,10,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0365,F16C0Y165,TNG,TFB,1,100.0,23771.57,8283.6,15487.97,avg=19.72; max=19.72; positive_legs=1,65,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0810,F16C0Y165,LPB,TFB,1,100.0,41458.61,26308.1,15150.51,avg=38.08; max=38.08; positive_legs=1,37,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0119,F16C0Y165,TFB,BOD,1,100.0,31294.47,16183.7,15110.77,avg=31.32; max=31.32; positive_legs=1,163,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0120,F16C0Y165,BOD,TFB,1,100.0,30283.3,15723.5,14559.8,avg=29.32; max=29.32; positive_legs=1,127,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0875,F16C0Y165,TFB,MJI,1,100.0,42900.92,28379.0,14521.92,avg=49.00; max=49.00; positive_legs=1,37,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0852,F16C0Y165,IOM,TFB,1,100.0,40982.0,26538.2,14443.8,avg=43.96; max=43.96; positive_legs=1,40,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0255,F16C0Y165,TKE,MBY,1,99.03,26539.4,12118.6,14420.8,avg=17.20; max=17.20; positive_legs=1,28,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0851,F16C0Y165,TFB,IOM,1,100.0,42615.3,28225.6,14389.7,avg=47.40; max=47.40; positive_legs=1,93,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0020,F16C0Y165,TFB,PSE,1,100.0,32604.8,18254.6,14350.2,avg=33.32; max=33.32; positive_legs=1,70,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0036,F16C0Y165,TFB,NTQ,1,100.0,29450.5,15109.9,14340.6,avg=28.60; max=28.60; positive_legs=1,20,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0101,F16C0Y165,TFB,BOD,1,100.0,30514.37,16260.4,14253.97,avg=23.56; max=23.56; positive_legs=1,191,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0320,F16C0Y165,TFB,TKD,1,100.0,23352.87,9357.4,13995.47,avg=12.72; max=12.72; positive_legs=1,34,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0605,F16C0Y165,MBT,TFB,1,100.0,25710.8,11735.1,13975.7,avg=22.00; max=22.00; positive_legs=1,49,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0660,F16C0Y165,TFB,EGX,1,100.0,31769.4,17794.4,13975.0,avg=27.04; max=27.04; positive_legs=1,59,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
super_AA0820,F0C0Y76,TNG,TNG,2,100.0,30334.8,16451.17,13883.63,avg=35.64; max=48.56; positive_legs=2,79,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0135,F0C0Y76,QEY,BOD,1,100.0,22601.63,8763.33,13838.3,avg=50.52; max=50.52; positive_legs=1,33,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0043,F0C0Y76,BOD,CFU,1,100.0,16721.7,2907.83,13813.87,avg=35.00; max=35.00; positive_legs=1,21,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0081,F0C0Y76,TFB,BOD,1,100.0,22112.2,8404.83,13707.37,avg=44.60; max=44.60; positive_legs=1,20,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0676,F16C0Y165,TFB,EFO,1,100.0,25538.1,11888.5,13649.6,avg=22.52; max=22.52; positive_legs=1,51,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
BA2172,F16C0Y165,QEY,TFB,1,100.0,17402.4,3758.3,13644.1,avg=10.76; max=10.76; positive_legs=1,168,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0860,F16C0Y165,IOM,TFB,1,100.0,39894.4,26461.5,13432.9,avg=39.08; max=39.08; positive_legs=1,11,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0854,F16C0Y165,MJI,TFB,1,100.0,38880.7,25694.5,13186.2,avg=46.60; max=46.60; positive_legs=1,52,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
BA2544,F16C0Y165,QEY,TFB,1,97.33,16768.83,3758.3,13010.53,avg=4.60; max=4.60; positive_legs=1,211,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
BA2347,F16C0Y165,NTP,TFB,1,93.45,19897.4,6903.0,12994.4,avg=5.16; max=5.16; positive_legs=1,39,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
BA2246,F16C0Y165,QEY,TFB,1,100.0,16960.13,3988.4,12971.73,avg=9.96; max=9.96; positive_legs=1,154,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0103,F16C0Y165,TFB,BOD,1,95.76,29101.88,16183.7,12918.18,avg=4.84; max=4.84; positive_legs=1,138,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0324,F16C0Y165,TFB,TKD,1,100.0,22270.2,9357.4,12912.8,avg=17.20; max=17.20; positive_legs=1,42,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0858,F16C0Y165,PHH,TFB,1,100.0,38428.68,25541.1,12887.58,avg=44.76; max=44.76; positive_legs=1,79,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0023,F16C0Y165,PSE,TFB,1,100.0,33201.8,20478.9,12722.9,avg=33.60; max=33.60; positive_legs=1,87,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0892,F16C0Y165,IOM,TBO,1,100.0,38312.8,25694.5,12618.3,avg=40.60; max=40.60; positive_legs=1,10,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0038,F16C0Y165,TFB,NTQ,1,100.0,27880.6,15263.3,12617.3,avg=21.64; max=21.64; positive_legs=1,22,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0890,F16C0Y165,PHH,TBO,1,100.0,36986.4,24467.3,12519.1,avg=34.96; max=34.96; positive_legs=1,10,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
super_AA0245,F16C0Y165,NFY,TFB,2,97.33,43504.5,30986.8,12517.7,avg=18.38; max=26.20; positive_legs=2,30,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0641,F16C0Y165,UVT,TFB,1,100.0,26530.7,14036.1,12494.6,avg=22.24; max=22.24; positive_legs=1,17,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0611,F16C0Y165,MBT,TFB,1,100.0,24216.5,11735.1,12481.4,avg=20.60; max=20.60; positive_legs=1,69,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0504,F16C0Y165,TFB,TOB,1,97.94,24501.9,12118.6,12383.3,avg=10.68; max=10.68; positive_legs=1,46,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0565,F16C0Y165,MBY,QEY,1,100.0,22967.8,10584.6,12383.2,avg=21.24; max=21.24; positive_legs=1,31,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0635,F16C0Y165,QIY,TFB,1,100.0,25776.6,13422.5,12354.1,avg=26.20; max=26.20; positive_legs=1,45,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0609,F16C0Y165,MBT,TFB,1,100.0,24177.3,11888.5,12288.8,avg=21.96; max=21.96; positive_legs=1,17,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0453,F16C0Y165,MBY,TFB,1,100.0,24471.9,12195.3,12276.6,avg=13.64; max=13.64; positive_legs=1,69,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0018,F16C0Y165,TFB,NDP,1,99.15,37449.3,25234.3,12215.0,avg=27.36; max=27.36; positive_legs=1,30,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0373,F16C0Y165,TNG,TFB,1,100.0,20394.37,8206.9,12187.47,avg=17.68; max=17.68; positive_legs=1,82,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0315,F16C0Y165,TGP,TFB,1,99.52,21693.2,9510.8,12182.4,avg=13.28; max=13.28; positive_legs=1,46,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0560,F16C0Y165,QEY,MBY,1,100.0,22877.5,10814.7,12062.8,avg=16.60; max=16.60; positive_legs=1,29,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0008,F16C0Y165,TFB,FXS,1,100.0,35990.4,24007.1,11983.3,avg=32.00; max=32.00; positive_legs=1,39,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0706,F16C0Y165,ZWS,MBY,1,92.12,24990.6,13039.0,11951.6,avg=4.64; max=4.64; positive_legs=1,12,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0870,F16C0Y165,BOD,IOM,1,95.39,39775.8,27995.5,11780.3,avg=32.48; max=32.48; positive_legs=1,14,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
BA2391,F16C0Y165,CPJ,TFB,1,100.0,18759.5,7056.4,11703.1,avg=16.72; max=16.72; positive_legs=1,65,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0125,F0C0Y76,TFB,GBJ,1,100.0,20596.1,8962.5,11633.6,avg=39.84; max=39.84; positive_legs=1,86,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0619,F16C0Y165,MBT,TFB,1,100.0,23749.63,12118.6,11631.03,avg=22.96; max=22.96; positive_legs=1,48,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0615,F16C0Y165,MBT,TFB,1,100.0,23847.3,12272.0,11575.3,avg=20.96; max=20.96; positive_legs=1,58,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0672,F16C0Y165,TFB,EFO,1,100.0,23421.5,11888.5,11533.0,avg=23.80; max=23.80; positive_legs=1,68,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0632,F16C0Y165,TFB,QIY,1,99.15,24148.7,12655.5,11493.2,avg=17.76; max=17.76; positive_legs=1,31,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0508,F16C0Y165,TFB,TOB,1,99.88,23557.8,12118.6,11439.2,avg=10.16; max=10.16; positive_legs=1,33,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
